pass,stratum,record_a,record_b,name_a,address_a,name_b,address_b,evidence,same_entity,note
B,"Possible, corroborated",fmcsa:1026077,gleif:549300UGLYJGXLQORB45,J HARRIS INDUSTRIAL WATER,"3151 STURGIS RD, OXNARD, CA 93030","J. Harris Industrial Water Treatment, Inc.","3151 Sturgis Road, Oxnard, CA 93030","names ""J HARRIS INDUSTRIAL WATER"" / ""J. Harris Industrial Water Treatment, Inc."" similarity 0.89; same address 3151 STURGIS RD 93030",yes,name truncated in the census
B,"Possible, corroborated",fmcsa:1917203,gleif:5493001X6XG1SZZCF789,HIGH DESERT MILK TRANSPORT,"1033 IDAHO AVE, BURLEY, ID 83318","High Desert Milk, Inc.","1033 Idaho Avenue, Burley, ID 83318","names ""HIGH DESERT MILK TRANSPORT"" / ""High Desert Milk, Inc."" similarity 0.86; same address 1033 IDAHO AVE 83318",unsure,the transport arm may be its own company
B,"Possible, corroborated",fmcsa:235686,gleif:5493002ZMW4B6DFPZP14,RIVER CITY TRANSPORT LLC,"945 SHORT ST, EAU CLAIRE, WI 54701",River City Apartments LLC,"2390 Ridgeview Drive, Eau Claire, WI 54701","names ""RIVER CITY TRANSPORT LLC"" / ""River City LLC"" similarity 0.80; same ZIP 54701 (945 SHORT ST / 2390 Ridgeview Drive)",no,a trucking company and an apartment owner in one ZIP
B,"Possible, corroborated",fmcsa:333576,gleif:5493005NYXIOOFEU3T11,EASTERN SHORE DISTRIBUTING LP,"811 SNOW HILL RD, SALISBURY, MD 21804",Eastern Shore Distributing Limited Partnership,"811 Snow Hill Road, Salisbury, MD 21804","names ""EASTERN SHORE DISTRIBUTING LP"" / ""Eastern Shore Distributing Limited Partnership"" similarity 0.86; same address 811 SNOW HILL RD 21804",yes,LIMITED PARTNERSHIP is not stripped as a legal form
B,"Possible, corroborated",fmcsa:4507650,gleif:549300RYF7HKL9SKYG25,KIMBALL INTERNATIONAL BRANDS INC,"1600 ROYAL ST, JASPER, IN 47546","KIMBALL INTERNATIONAL, INC.","C/O Greg Kincer, Jasper, IN 47546","names ""KIMBALL INTERNATIONAL BRANDS INC"" / ""KIMBALL INTERNATIONAL, INC."" similarity 0.80; same ZIP 47546 (1600 ROYAL ST / C/O Greg Kincer)",no,a subsidiary and its parent
B,"Possible, corroborated",fmcsa:518488,gleif:254900TT2CSFSD6EHS36,IDLENOT FARMS GENERAL PARTNERSHIP,"1940 110TH ST, LARCHWOOD, IA 51241","Idlenot Farms, A General Partnership","1940 110th Street, Larchwood, IA 51241","names ""IDLENOT FARMS GENERAL PARTNERSHIP"" / ""Idlenot Farms, A General Partnership"" similarity 0.89; same address 1940 110TH ST 51241",yes,
B,"Possible, corroborated",fmcsa:649918,gleif:549300KUBRH1GICTLI84,NEW HAMPSHIRE DISTRIBUTORS LLC,"65 REGIONAL DRIVE, CONCORD, NH 03301",NEW HAMPSHIRE,"70 Airport Road, Concord, NH 03301","names ""NEW HAMPSHIRE DISTRIBUTORS LLC"" / ""NEW HAMPSHIRE"" similarity 0.80; same ZIP 03301 (65 REGIONAL DRIVE / 70 Airport Road)",no,a distributor and something named only NEW HAMPSHIRE
B,"Possible, corroborated",fmcsa:1364613,gleif:549300FFFT7GTLMW1J85,AHLSTROM-MUNKSJO NA SPECIALTY SOLUTIONS LLC,"600 THILMANY RD, KAUKAUNA, WI 54130",AHLSTROM NA SPECIALTY SOLUTIONS LLC,"600 Thilmany Road, Kaukauna, WI 54130","names ""AHLSTROM-MUNKSJO NA SPECIALTY SOLUTIONS LLC"" / ""AHLSTROM NA SPECIALTY SOLUTIONS LLC"" similarity 0.89; same address 600 THILMANY RD 54130",yes,"renamed after a merger, same address"
B,"Possible, corroborated",fmcsa:1136664,gleif:984500DF7E081AC97516,PANEK FARMS TRUCKING LLC,"13998 WEST COUNTY HOUSE ROAD, ALBION, NY 14411",PANEK FARMS,"13420 WEST COUNTY HOUSE ROAD, ALBION, NY 14411","names ""PANEK FARMS TRUCKING LLC"" / ""PANEK FARMS"" similarity 0.80; same ZIP 14411 (13998 WEST COUNTY HOUSE ROAD / 13420 WEST COUNTY HOUSE ROAD)",no,a trucking LLC and the farm it hauls for
B,"Possible, corroborated",fmcsa:3331045,gleif:254900FRFNQ8O2G3KS02,MISSION HILLS SENIOR OWNER LLC,"620 ALDRICH DR, CHANHASSEN, MN 55317-0015","Mission Hills Senior Housing Owner, LLC","7730 Laredo Dr, Chanhassen, MN 55317","names ""MISSION HILLS SENIOR OWNER LLC"" / ""Mission Hills Senior Housing Owner, LLC"" similarity 0.89; same ZIP 55317 (620 ALDRICH DR / 7730 Laredo Dr)",yes,"name abbreviated in the census, same ZIP"
B,"Possible, corroborated",fmcsa:2738658,gleif:549300KBQTX6CMJ3U708,ORANGE COUNTY WATER DISTRICT,"18700 WARD STREET, FOUNTAIN VALLEY, CA 92708",MUNICIPAL WATER DISTRICT OF ORANGE COUNTY WATER FACILITIES CORPORATION,"18700 WARD STREET, FOUNTAIN VALLEY, CA 92708","names ""ORANGE COUNTY WATER DISTRICT"" / ""MUNICIPAL WATER DISTRICT OF ORANGE COUNTY WATER FACILITIES CORPORATION"" similarity 0.82; same address 18700 WARD STREET 92708",no,two water agencies sharing a building
B,"Possible, corroborated",fmcsa:170146,gleif:549300KONC7NB5YTQQ92,WRIGHT TREE SERVICE INC,"5930 GRAND AVE, WEST DES MOINES, IA 50266",WRIGHT SERVICE CORP.,"5930 Grand Avenue, West Des Moines, IA 50266","names ""WRIGHT TREE SERVICE INC"" / ""WRIGHT SERVICE CORP."" similarity 0.80; same address 5930 GRAND AVE 50266",no,a subsidiary and its parent
B,"Possible, corroborated",fmcsa:2830819,gleif:254900AE2IQITW9R1H60,BRIGHT STAR LOGISTICS OF OHIO INC,"7800 S QUINCY STREET, WILLOWBROOK, IL 60527","BRIGHT STAR LOGISTICS, INC.","7800 S. Quincy St., Willowbrook, IL 60527","names ""BRIGHT STAR LOGISTICS OF OHIO INC"" / ""BRIGHT STAR LOGISTICS, INC."" similarity 0.86; same address 7800 S QUINCY STREET 60527",no,a subsidiary and its parent
B,"Possible, corroborated",fmcsa:516024,gleif:254900EQCCNX2I1GIX54,KENT COMPANIES INC,"130-60TH ST SW, GRAND RAPIDS, MI 49548","KENT COMPANIES, TEXAS, LLC","130 60th ST SW, GRAND RAPIDS, MI 49548","names ""KENT COMPANIES INC"" / ""KENT COMPANIES, TEXAS, LLC"" similarity 0.80; same address 130-60TH ST SW 49548",no,a subsidiary and a sister company
B,"Possible, corroborated",fmcsa:49513,gleif:549300UUHB7HM38IQ260,HOLT & BUGBEE COMPANY,"1600 SHAWSHEEN ST, TEWKSBURY, MA 01876","HOLT & BUGBEE HARDWOODS, INC.","1600 Shawsheen Street, Tewksbury, MA 01876","names ""HOLT & BUGBEE COMPANY"" / ""HOLT & BUGBEE HARDWOODS, INC."" similarity 0.80; same address 1600 SHAWSHEEN ST 01876",unsure,could be a rename or a sister company
B,"Possible, corroborated",fmcsa:731603,gleif:5493003H6HUEF6LN1T82,CINCO J INC,"1113 E SARAH DEWITT DR, GONZALES, TX 78629","Cinco J. Investments, Inc.","1113 East Sara DeWitt Drive, Gonzales, TX 78629","names ""CINCO J INC"" / ""Cinco J. Investments, Inc."" similarity 0.80; same ZIP 78629 (1113 E SARAH DEWITT DR / 1113 East Sara DeWitt Drive)",no,a trucking company and an investment company
B,"Possible, corroborated",fmcsa:2950365,gleif:549300KJSHN8Z3BTD262,BAYLOR SCOTT & WHITE HEALTH,"301 N WASHINGTON AVE, DALLAS, TX 75246",SCOTT & WHITE HEALTHCARE,"301 N. Washington Avenue, Dallas, TX 75246","names ""BAYLOR SCOTT & WHITE HEALTH"" / ""SCOTT & WHITE HEALTHCARE"" similarity 0.83; same address 301 N WASHINGTON AVE 75246",no,"affiliated health systems, different legal entities"
B,"Possible, name only",fmcsa:40212,gleif:5493000BSOPYEDYGXW87,FRANKLIN FOODS,"1925 WEST FIRST STREET, DULUTH, MN 55806-2126","FRANKLIN FOODS, INC.","2500 North Military Trail, Boca Raton, FL 33431","names ""FRANKLIN FOODS"" / ""FRANKLIN FOODS, INC."" similarity 1.00; no corroborating signal",unsure,the name fits a Florida food maker with a Minnesota plant; not verified
B,"Possible, name only",fmcsa:3831541,gleif:969500MBQFH6LE1EA208,ITF LLC,"11990 MISSOURI BOTTOM RD, HAZELWOOD, MO 63042",ITF,"142 BOULEVARD AMPERE, CHAURAY, 79 79180","names ""ITF LLC"" / ""ITF"" similarity 1.00; no corroborating signal",no,Missouri and France
B,"Possible, name only",fmcsa:3875011,gleif:213800QVNRIQJQ547J92,ALPHA INC,"381 ALA MAKANI ST, KAHULUI, HI 96732-3507",ALPHA ΕΠΕΝΔΥΤΙΚΗΣ ΠΕΡΙΟΥΣΙΑΣ ΝΕΑΣ ΚΗΦΙΣΙΑΣ Α.Ε.,"LEOFOROS ATHINON 77, ATHENS, I 10447","names ""ALPHA INC"" / ""ALPHA ΕΠΕΝΔΥΤΙΚΗΣ ΠΕΡΙΟΥΣΙΑΣ ΝΕΑΣ ΚΗΦΙΣΙΑΣ Α.Ε."" similarity 1.00; no corroborating signal",no,Hawaii and Greece
B,"Possible, name only",fmcsa:358443,gleif:NINLOILYRTLIMK26MZ18,MIDAMERICAN ENERGY COMPANY,"2595 34TH AVE NW, ALTOONA, IA 50009",MIDAMERICAN ENERGY COMPANY,"666 Grand Avenue, Des Moines, IA 50309","names ""MIDAMERICAN ENERGY COMPANY"" / ""MIDAMERICAN ENERGY COMPANY"" similarity 1.00; no corroborating signal",yes,utility service centre registered in its own name
B,"Possible, name only",fmcsa:1392560,gleif:549300R3RZ4C3OUJJ411,UNITED STATES GYPSUM CO,"550 W ADAMS, CHICAGO, IL 60661",UNITED STATES GYPSUM COMPANY,"C/O The Corporation Trust Company, Wilmington, DE 19801","names ""UNITED STATES GYPSUM CO"" / ""UNITED STATES GYPSUM COMPANY"" similarity 1.00; no corroborating signal",yes,registered agent address in GLEIF
B,"Possible, name only",fmcsa:173704,gleif:5493008NB5T3NSPBNH24,WESTERN OIL INC,"1 DUCHESS WAY, LINCOLN, RI 02865","WESTERN OIL, INC.","3553 Rider Trail South, Earth City, MO 63045","names ""WESTERN OIL INC"" / ""WESTERN OIL, INC."" similarity 1.00; no corroborating signal",no,Rhode Island and Missouri
B,"Possible, name only",fmcsa:145402,gleif:5493006BLRMA4AFWZU52,AMERICAN WELDING & GAS INC,"1575 WINCHESTER ROAD, LEXINGTON, KY 40505","American Welding & Gas, Inc.","4900 Falls of Neuse Road, Raleigh, NC 27609-5490","names ""AMERICAN WELDING & GAS INC"" / ""American Welding & Gas, Inc."" similarity 1.00; no corroborating signal",yes,branch of a Raleigh-based distributor
B,"Possible, name only",fmcsa:4360081,gleif:54930097JX47TWB35Q39,1155 DISTRIBUTOR PARTNERS LLC,"4414 HOLLISTER STREET, HOUSTON, TX 77040","1155 DISTRIBUTOR PARTNERS, LLC","4200 NORTH SAM HOUSTON PKWY, HOUSTON, TX 77494","names ""1155 DISTRIBUTOR PARTNERS LLC"" / ""1155 DISTRIBUTOR PARTNERS, LLC"" similarity 1.00; no corroborating signal",yes,"same name, same city"
B,"Possible, name only",fmcsa:855505,gleif:549300I4QQDPLTDBLB55,RDS VENDING LLC,"1035 CONSHOHOCKEN RD, CONSHOHOCKEN, PA 19428","RDS Vending, LLC","220 East Washington Street, Norristown, PA 19401","names ""RDS VENDING LLC"" / ""RDS Vending, LLC"" similarity 1.00; no corroborating signal",yes,"same name, neighbouring towns"
B,"Possible, name only",fmcsa:2526323,gleif:2138005OA2NLZS2NRT74,INDEPENDENT OIL & GAS LLC,"3111 HACKATHORN LANE, GILLETTE, WY 82716",IOG PLC,"3RD FLOOR, LONDON, LND WC2H 8JR","names ""INDEPENDENT OIL & GAS LLC"" / ""INDEPENDENT OIL AND GAS LIMITED"" similarity 1.00; no corroborating signal",no,a Wyoming LLC and a UK company's other name
B,"Possible, name only",fmcsa:532030,gleif:54930067BWVLHTSKML26,AMERIGAS PROPANE LP,"91-290 HANUA STREET, KAPOLEI, HI 96707-1783","AMERIGAS PROPANE, L.P.","500 North Gulph Road, King of Prussia, PA 19406","names ""AMERIGAS PROPANE LP"" / ""AMERIGAS PROPANE, L.P."" similarity 1.00; no corroborating signal",yes,branch of the national company
B,"Possible, name only",fmcsa:2102587,gleif:54930045JY28O5B5WE54,WIDEOPENWEST FINANCE LLC,"3001 GANDY BLVD NORTH, PINELLAS PARK, FL 33782","WIDEOPENWEST FINANCE, LLC","C/O WideOpenWest Finance LLC, Englewood, CO 80111","names ""WIDEOPENWEST FINANCE LLC"" / ""WIDEOPENWEST FINANCE, LLC"" similarity 1.00; no corroborating signal",yes,registered agent address in GLEIF
B,"Possible, name only",fmcsa:335548,gleif:549300P4UT8N913GJP88,AMERICAN PRODUCTS INC,"11815 DOWNS ROAD, PINEVILLE, NC 28134","Crust Buster, Inc.","102 Santa Fe, Spearville, KS 67876","names ""AMERICAN PRODUCTS INC"" / ""AMERICAN PRODUCTS, INC."" similarity 1.00; no corroborating signal",no,a GLEIF previous name now used by another company
B,"Possible, name only",fmcsa:157639,gleif:549300D1101HU6HURK84,AMERICAN FLEXALE DIV,"SEE 190712, NEW BEDFORD, MA 02740","Nortek, Inc.","8000 Phoenix Pkwy, O'Fallon, MO 63368","names ""NORTEK INC"" / ""Nortek, Inc."" similarity 1.00; no corroborating signal",yes,a division trading under its company's name
B,"Possible, name only",fmcsa:860267,gleif:254900LH5GUQJKH7BP04,ARGUS LOGISTICS INC,"550 E KEENE RD, APOPKA, FL 32704-1228","ARGUS LOGISTICS, LLC","3290 W BIG BEAVER RD, TROY, MI 48084","names ""ARGUS LOGISTICS INC"" / ""ARGUS LOGISTICS, LLC"" similarity 1.00; no corroborating signal",no,Florida and Michigan
B,"Possible, name only",fmcsa:56959,gleif:WD6L6041MNRW1JE49D58,TYSON FOODS INC,"1520 MCPHERSON ST, OXFORD, AL 36203-2315","TYSON FOODS, INC.","2200 Don Tyson Parkway, Springdale, AR 72762","names ""TYSON FOODS INC"" / ""TYSON FOODS, INC."" similarity 1.00; no corroborating signal",yes,plant of the national company
B,"Possible, name only",fmcsa:1918467,gleif:549300D1U2CIR97TFB56,EAGLE DISTRIBUTING INC,"1100 SOUTH BUD BOULEVARD, FREMONT, NE 68025",Eagle Distributing Company,"2747 Greenup Avenue, Ashland, KY 41101","names ""EAGLE DISTRIBUTING INC"" / ""Eagle Distributing Company"" similarity 1.00; no corroborating signal",no,Nebraska and Kentucky
